model	loader	kind	cache_mode	metric	value	status
Qwen/Qwen3-8B	ts_serverlessllm_default	steady_state_decode	cold	wall_ms	191772.22	OK
Qwen/Qwen3-8B	ts_serverlessllm_default	steady_state_decode	warm	wall_ms	157265.33	OK
Qwen/Qwen3-8B	ts_serverlessllm_default	ttft	cold	wall_ms	166548.48	OK
Qwen/Qwen3-8B	ts_serverlessllm_default	ttft	warm	wall_ms	152253.06	OK
Qwen/Qwen3-8B	ts_serverlessllm_sync	load_only	cold	wall_ms	174681.13	OK
Qwen/Qwen3-8B	ts_serverlessllm_sync	load_only	warm	wall_ms	173451.10	OK
Qwen/Qwen3-8B	ts_serverlessllm_sync	steady_state_decode	cold	wall_ms	157479.02	OK
Qwen/Qwen3-8B	ts_serverlessllm_sync	steady_state_decode	warm	wall_ms	164767.20	OK
Qwen/Qwen3-8B	ts_serverlessllm_sync	ttft	cold	wall_ms	156695.48	OK
Qwen/Qwen3-8B	ts_serverlessllm_sync	ttft	warm	wall_ms	162743.69	OK
