model	loader	kind	cache_mode	metric	value	status
Qwen/Qwen3-14B	ts_safetensors_default	steady_state_decode	warm	init_ms	143660.43	estimated
Qwen/Qwen3-14B	ts_safetensors_default	ttft	cold	first_token_ms	29.34	estimated
Qwen/Qwen3-14B	ts_safetensors_default	ttft	cold	init_ms	161639.02	estimated
Qwen/Qwen3-14B	ts_safetensors_default	ttft	cold	ttft_ms	161668.37	estimated
Qwen/Qwen3-14B	ts_safetensors_default	ttft	warm	first_token_ms	21.66	estimated
Qwen/Qwen3-14B	ts_safetensors_default	ttft	warm	init_ms	144841.14	estimated
Qwen/Qwen3-14B	ts_safetensors_default	ttft	warm	ttft_ms	144862.80	estimated
Qwen/Qwen3-14B	ts_safetensors_sync	load_only	cold	init_ms	128633.86	estimated
Qwen/Qwen3-14B	ts_safetensors_sync	load_only	warm	init_ms	108379.44	estimated
Qwen/Qwen3-14B	ts_safetensors_sync	steady_state_decode	cold	decode_avg_ms	122.90	estimated
Qwen/Qwen3-14B	ts_safetensors_sync	steady_state_decode	cold	decode_max_ms	123.35	estimated
Qwen/Qwen3-14B	ts_safetensors_sync	steady_state_decode	cold	decode_min_ms	122.70	estimated
Qwen/Qwen3-14B	ts_safetensors_sync	steady_state_decode	cold	init_ms	129160.16	estimated
Qwen/Qwen3-14B	ts_safetensors_sync	steady_state_decode	warm	decode_avg_ms	123.29	estimated
Qwen/Qwen3-14B	ts_safetensors_sync	steady_state_decode	warm	decode_max_ms	124.52	estimated
Qwen/Qwen3-14B	ts_safetensors_sync	steady_state_decode	warm	decode_min_ms	122.82	estimated
Qwen/Qwen3-14B	ts_safetensors_sync	steady_state_decode	warm	init_ms	109168.19	estimated
Qwen/Qwen3-14B	ts_safetensors_sync	ttft	cold	first_token_ms	28.87	estimated
Qwen/Qwen3-14B	ts_safetensors_sync	ttft	cold	init_ms	129253.75	estimated
Qwen/Qwen3-14B	ts_safetensors_sync	ttft	cold	ttft_ms	129282.62	estimated
Qwen/Qwen3-14B	ts_safetensors_sync	ttft	warm	first_token_ms	21.71	estimated
Qwen/Qwen3-14B	ts_safetensors_sync	ttft	warm	init_ms	108639.53	estimated
Qwen/Qwen3-14B	ts_safetensors_sync	ttft	warm	ttft_ms	108661.24	estimated
Qwen/Qwen3-14B	ts_serverlessllm_default	load_only	cold	init_ms	94884.85	estimated
Qwen/Qwen3-14B	ts_serverlessllm_default	load_only	warm	init_ms	91635.11	estimated
Qwen/Qwen3-14B	ts_serverlessllm_default	steady_state_decode	cold	decode_avg_ms	123.15	estimated
Qwen/Qwen3-14B	ts_serverlessllm_default	steady_state_decode	cold	decode_max_ms	123.49	estimated
Qwen/Qwen3-14B	ts_serverlessllm_default	steady_state_decode	cold	decode_min_ms	122.89	estimated
Qwen/Qwen3-14B	ts_serverlessllm_default	steady_state_decode	cold	init_ms	93703.51	estimated
Qwen/Qwen3-14B	ts_serverlessllm_default	steady_state_decode	warm	decode_avg_ms	123.03	estimated
Qwen/Qwen3-14B	ts_serverlessllm_default	steady_state_decode	warm	decode_max_ms	123.41	estimated
Qwen/Qwen3-14B	ts_serverlessllm_default	steady_state_decode	warm	decode_min_ms	122.81	estimated
Qwen/Qwen3-14B	ts_serverlessllm_default	steady_state_decode	warm	init_ms	85773.83	estimated
Qwen/Qwen3-14B	ts_serverlessllm_default	ttft	cold	first_token_ms	28.49	estimated
Qwen/Qwen3-14B	ts_serverlessllm_default	ttft	cold	init_ms	94624.84	estimated
Qwen/Qwen3-14B	ts_serverlessllm_default	ttft	cold	ttft_ms	94653.34	estimated
Qwen/Qwen3-14B	ts_serverlessllm_default	ttft	warm	first_token_ms	21.74	estimated
Qwen/Qwen3-14B	ts_serverlessllm_default	ttft	warm	init_ms	89590.31	estimated
Qwen/Qwen3-14B	ts_serverlessllm_default	ttft	warm	ttft_ms	89612.04	estimated
Qwen/Qwen3-14B	ts_serverlessllm_sync	load_only	cold	init_ms	86455.22	estimated
Qwen/Qwen3-14B	ts_serverlessllm_sync	load_only	warm	init_ms	82875.58	estimated
Qwen/Qwen3-14B	ts_serverlessllm_sync	steady_state_decode	cold	decode_avg_ms	122.71	estimated
Qwen/Qwen3-14B	ts_serverlessllm_sync	steady_state_decode	cold	decode_max_ms	123.09	estimated
Qwen/Qwen3-14B	ts_serverlessllm_sync	steady_state_decode	cold	decode_min_ms	122.58	estimated
Qwen/Qwen3-14B	ts_serverlessllm_sync	steady_state_decode	cold	init_ms	86371.75	estimated
Qwen/Qwen3-14B	ts_serverlessllm_sync	steady_state_decode	warm	decode_avg_ms	122.88	estimated
Qwen/Qwen3-14B	ts_serverlessllm_sync	steady_state_decode	warm	decode_max_ms	123.35	estimated
Qwen/Qwen3-14B	ts_serverlessllm_sync	steady_state_decode	warm	decode_min_ms	122.61	estimated
Qwen/Qwen3-14B	ts_serverlessllm_sync	steady_state_decode	warm	init_ms	82554.20	estimated
Qwen/Qwen3-14B	ts_serverlessllm_sync	ttft	cold	first_token_ms	28.15	estimated
Qwen/Qwen3-14B	ts_serverlessllm_sync	ttft	cold	init_ms	86301.26	estimated
Qwen/Qwen3-14B	ts_serverlessllm_sync	ttft	cold	ttft_ms	86329.41	estimated
Qwen/Qwen3-14B	ts_serverlessllm_sync	ttft	warm	first_token_ms	21.84	estimated
Qwen/Qwen3-14B	ts_serverlessllm_sync	ttft	warm	init_ms	82416.43	estimated
Qwen/Qwen3-14B	ts_serverlessllm_sync	ttft	warm	ttft_ms	82438.27	estimated
Qwen/Qwen3-32B	ts_safetensors_default	load_only	cold	init_ms	318877.05	estimated
Qwen/Qwen3-32B	ts_safetensors_default	load_only	warm	init_ms	306965.46	estimated
Qwen/Qwen3-32B	ts_safetensors_default	steady_state_decode	cold	decode_avg_ms	252.62	estimated
Qwen/Qwen3-32B	ts_safetensors_default	steady_state_decode	cold	decode_max_ms	252.88	estimated
Qwen/Qwen3-32B	ts_safetensors_default	steady_state_decode	cold	decode_min_ms	252.42	estimated
Qwen/Qwen3-32B	ts_safetensors_default	steady_state_decode	cold	init_ms	320406.43	estimated
Qwen/Qwen3-32B	ts_safetensors_default	steady_state_decode	warm	decode_avg_ms	252.68	estimated
Qwen/Qwen3-32B	ts_safetensors_default	steady_state_decode	warm	decode_max_ms	253.14	estimated
Qwen/Qwen3-32B	ts_safetensors_default	steady_state_decode	warm	decode_min_ms	252.50	estimated
Qwen/Qwen3-32B	ts_safetensors_default	steady_state_decode	warm	init_ms	297077.71	estimated
Qwen/Qwen3-32B	ts_safetensors_default	ttft	cold	first_token_ms	44.96	estimated
Qwen/Qwen3-32B	ts_safetensors_default	ttft	cold	init_ms	320020.26	estimated
Qwen/Qwen3-32B	ts_safetensors_default	ttft	cold	ttft_ms	320065.22	estimated
Qwen/Qwen3-32B	ts_safetensors_default	ttft	warm	first_token_ms	39.85	estimated
Qwen/Qwen3-32B	ts_safetensors_default	ttft	warm	init_ms	299932.45	estimated
