==========================================================================================
RUST-LAYER COLD-CACHE PROFILES (ms)
==========================================================================================

--- SAFETENSORS ---
  Model                     Backend          H100       H200       A100
  Qwen3-32B       ts_serverlessllm_default           113057.5       425371.2
  Qwen3-32B       ts_serverlessllm_sync              121131.1       411375.4
  Qwen3-32B       ts_serverlessllm_io_uring          112336.1            N/A


--- STEADY_STATE_DECODE (H100: decode_avg_ms, A100: wall_ms) ---

  [WARM]
  Model           Loader                            H100 (ms)      A100 (ms)
  ---------------------------------------------------------------------------
  Qwen3-0.6B      ts_safetensors_default                 17.4       126108.4
  Qwen3-0.6B      ts_safetensors_sync                    17.5       131529.3
  Qwen3-0.6B      ts_safetensors_io_uring                17.5            N/A
  Qwen3-0.6B      ts_serverlessllm_default               17.4       130561.2
  Qwen3-0.6B      ts_serverlessllm_sync                  17.4       133348.4
  Qwen3-0.6B      ts_serverlessllm_io_uring              17.3            N/A

  SmolLM3-3B      ts_safetensors_default                 36.0            N/A
  SmolLM3-3B      ts_safetensors_sync                    35.9            N/A
  SmolLM3-3B      ts_safetensors_io_uring                36.5            N/A
  SmolLM3-3B      ts_serverlessllm_default               36.2            N/A
  SmolLM3-3B      ts_serverlessllm_sync                  36.1            N/A
  SmolLM3-3B      ts_serverlessllm_io_uring              36.0            N/A

  Qwen3-4B        ts_safetensors_default                 39.4       172638.6
  Qwen3-4B        ts_safetensors_sync                    39.1       194385.8
  Qwen3-4B        ts_safetensors_io_uring                39.1            N/A
  Qwen3-4B        ts_serverlessllm_default               39.3       179048.6
  Qwen3-4B        ts_serverlessllm_sync                  39.1       180991.3
  Qwen3-4B        ts_serverlessllm_io_uring              39.2            N/A

  Qwen3-8B        ts_safetensors_default                 58.1       147523.2
  Qwen3-8B        ts_safetensors_sync                    58.2       149707.6
  Qwen3-8B        ts_safetensors_io_uring                58.1            N/A
  Qwen3-8B        ts_serverlessllm_default               58.1       157265.3
  Qwen3-8B        ts_serverlessllm_sync                  58.4       164767.2
  Qwen3-8B        ts_serverlessllm_io_uring              58.3            N/A

  Qwen3-14B       ts_safetensors_default                 94.4       295998.9
  Qwen3-14B       ts_safetensors_sync                    94.8       265674.4
  Qwen3-14B       ts_safetensors_io_uring                94.7       282692.6
  Qwen3-14B       ts_serverlessllm_default               94.6       310540.8
  Qwen3-14B       ts_serverlessllm_sync                  94.5       317923.5
  Qwen3-14B       ts_serverlessllm_io_uring              94.4       300324.6

  Qwen3-32B       ts_safetensors_default                194.4       446280.1
  Qwen3-32B       ts_safetensors_sync                   194.6       488338.9
  Qwen3-32B       ts_safetensors_io_uring               194.4            N/A
  Qwen3-32B       ts_serverlessllm_default              194.6       568960.3
  Qwen3-32B       ts_serverlessllm_sync                 194.4       636218.4
  Qwen3-32B       ts_serverlessllm_io_uring             194.4            N/A


  [COLD]
  Model           Loader                            H100 (ms)      A100 (ms)
  ---------------------------------------------------------------------------
  Qwen3-0.6B      ts_safetensors_default                 17.4       149162.5
  Qwen3-0.6B      ts_safetensors_sync                    17.5       153150.7
  Qwen3-0.6B      ts_safetensors_io_uring                17.8            N/A
  Qwen3-0.6B      ts_serverlessllm_default               17.4       164796.2
  Qwen3-0.6B      ts_serverlessllm_sync                  17.3       180144.3
  Qwen3-0.6B      ts_serverlessllm_io_uring              17.3            N/A

  SmolLM3-3B      ts_safetensors_default                 36.3            N/A
  SmolLM3-3B      ts_safetensors_sync                    36.1            N/A
  SmolLM3-3B      ts_safetensors_io_uring                36.1            N/A
  SmolLM3-3B      ts_serverlessllm_default               35.9            N/A
  SmolLM3-3B      ts_serverlessllm_sync                  36.3            N/A
