model	format	backend	rep	time_ms	tensors	bytes
Qwen/Qwen3-32B	safetensors	async	5	23550.13	707	0
Qwen/Qwen3-32B	safetensors	default	1	50334.04	707	0
Qwen/Qwen3-32B	safetensors	default	2	15750.12	707	0
Qwen/Qwen3-32B	safetensors	default	3	14688.59	707	0
Qwen/Qwen3-32B	safetensors	default	4	22284.43	707	0
Qwen/Qwen3-32B	safetensors	default	5	25055.32	707	0
Qwen/Qwen3-32B	serverlessllm	sync	1	71611.91	707	65524246528
Qwen/Qwen3-32B	serverlessllm	sync	2	29823.63	707	65524246528
Qwen/Qwen3-32B	serverlessllm	sync	3	53971.23	707	65524246528
Qwen/Qwen3-32B	serverlessllm	sync	4	28706.99	707	65524246528
Qwen/Qwen3-32B	serverlessllm	sync	5	56166.51	707	65524246528
Qwen/Qwen3-32B	serverlessllm	async	1	52184.80	707	65524246528
Qwen/Qwen3-32B	serverlessllm	async	2	51719.91	707	65524246528
Qwen/Qwen3-32B	serverlessllm	async	3	56205.33	707	65524246528
Qwen/Qwen3-32B	serverlessllm	async	4	47340.35	707	65524246528
Qwen/Qwen3-32B	serverlessllm	async	5	50981.06	707	65524246528
Qwen/Qwen3-32B	serverlessllm	default	1	82264.82	707	65524246528
Qwen/Qwen3-32B	serverlessllm	default	2	50148.68	707	65524246528
Qwen/Qwen3-32B	serverlessllm	default	3	46417.10	707	65524246528
Qwen/Qwen3-32B	serverlessllm	default	4	45844.61	707	65524246528
Qwen/Qwen3-32B	serverlessllm	default	5	52238.40	707	65524246528
