model	loader	benchmark_kind	rep	init_ms	ttft_ms	first_token_ms	decode_avg_ms	decode_min_ms	decode_max_ms
Qwen/Qwen3-14B	ts_serverlessllm_async	load_only	2	65694.24	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	ts_serverlessllm_async	load_only	3	65137.74	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	ts_serverlessllm_async	load_only	4	78168.25	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	ts_serverlessllm_async	load_only	5	41585.15	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	native	load_only	1	44206.93	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	native	load_only	2	44189.57	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	native	load_only	3	44043.47	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	native	load_only	4	47582.99	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	native	load_only	5	47496.53	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_safetensors_sync	load_only	1	105094.57	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_safetensors_sync	load_only	2	142011.68	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_safetensors_sync	load_only	3	606936.08	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_safetensors_sync	load_only	4	76070.88	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_safetensors_sync	load_only	5	143728.32	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_safetensors_async	load_only	1	75601.46	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_safetensors_async	load_only	2	71006.08	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_safetensors_async	load_only	3	70964.95	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_safetensors_async	load_only	4	75679.29	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_safetensors_async	load_only	5	76008.46	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_serverlessllm_sync	load_only	1	137780.57	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_serverlessllm_sync	load_only	2	146712.27	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_serverlessllm_sync	load_only	3	144370.36	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_serverlessllm_sync	load_only	4	148883.17	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_serverlessllm_sync	load_only	5	148476.25	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_serverlessllm_async	load_only	1	147858.82	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_serverlessllm_async	load_only	2	124716.39	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_serverlessllm_async	load_only	3	220114.59	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_serverlessllm_async	load_only	4	185333.42	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-32B	ts_serverlessllm_async	load_only	5	85492.15	0.00	0.00	0.00	0.00	0.00
